location,text,hashtags,sentiment,full_name,country
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
The Republic of Fiji🇫🇯,Indian police going the extra and beating up civilians with 4×2's during this #COVID19 pandemic. Good but really bad!,"[{'text': 'COVID19', 'indices': [78, 86]}]",-0.5663,Fiji,Fiji
Sherwood,Really ITV2?...Contagion? Hahaha. Well it's either highly appropriate or just the opposite depending on how you look at it. #Contagion #coronavirus #COVID19,"[{'text': 'Contagion', 'indices': [124, 134]}, {'text': 'coronavirus', 'indices': [135, 147]}, {'text': 'COVID19', 'indices': [148, 156]}]",0.20765,"Nottingham, England",United Kingdom
"Montego Bay, Jamaica","The best teachers teach from the heart! ❤💚
We know you are trying to give your children the best during this uncertain time. 

Check out these tips on surviving homeschool.
#ReggaeSumfest2020 #OurMusicOurFestival #OurRoots
#MusicOnAMission #COVID19 #BeSafe https://t.co/fl60QBxI1h","[{'text': 'ReggaeSumfest2020', 'indices': [173, 191]}, {'text': 'OurMusicOurFestival', 'indices': [192, 212]}, {'text': 'OurRoots', 'indices': [213, 222]}, {'text': 'MusicOnAMission', 'indices': [223, 239]}, {'text': 'COVID19', 'indices': [240, 248]}, {'text': 'BeSafe', 'indices': [249, 256]}]",0.3561,Jamaica,Jamaica
Kansas City,Here we go!!! @verizon #PayItForwardLIVE https://t.co/tyi1i5mZ9r @davematthewsbnd #COVID19 #coronavirus,"[{'text': 'PayItForwardLIVE', 'indices': [23, 40]}, {'text': 'COVID19', 'indices': [82, 90]}, {'text': 'coronavirus', 'indices': [91, 103]}]",0.0,"Kansas City, MO",United States
"Cardiff, UK",@azhardhia_80 Unfortunately they do not serve alcohol though 💔😢 due to #corona and I do not know what’s the link between serving wine and #COVID19,"[{'text': 'corona', 'indices': [71, 78]}, {'text': 'COVID19', 'indices': [138, 146]}]",-0.34,"Whitby, Ontario",Canada
"Renton, WA",BREAKING - new #COVID19 data from @WADeptHealth shows 627 new cases. The largest one day total.,"[{'text': 'COVID19', 'indices': [15, 23]}]",0.0,"Renton, WA",United States
